id,flag,original,new,oaw_id_x,cs_applied_x,orig_eu_outer_regions_ets_flag,orig_dom,orig_gcd+95,orig_corsia_(old),orig_swiss,orig_combined_ets_flag,orig_circular,orig_uk_ets_flag,orig_eu_ets_(old),orig_swiss_ets_flag,orig_outer,orig_eu_ets_flag,oaw_id_y,cs_applied_y,new_eu_outer_regions_ets_flag,new_dom,new_gcd+95,new_corsia_(old),new_swiss,new_combined_ets_flag,new_circular,new_uk_ets_flag,new_eu_ets_(old),new_swiss_ets_flag,new_outer,new_eu_ets_flag
33727359,eu_outer_regions_ets_flag,N,Y,33727359.0,6. EFW (Euroflyer),N,N,2863.0,Y,N,N,N,N,N,N,N,N,33727359.0,6. EFW (EUROFLYER),Y,N,2863.0,Y,N,N,N,N,N,N,N,N
33727410,eu_outer_regions_ets_flag,N,Y,33727410.0,6. EFW (Euroflyer),N,N,3006.0,Y,N,N,N,N,N,N,N,N,33727410.0,6. EFW (EUROFLYER),Y,N,3006.0,Y,N,N,N,N,N,N,N,N
33727414,eu_outer_regions_ets_flag,N,Y,33727414.0,6. EFW (Euroflyer),N,N,3006.0,Y,N,N,N,N,N,N,N,N,33727414.0,6. EFW (EUROFLYER),Y,N,3006.0,Y,N,N,N,N,N,N,N,N
33727416,eu_outer_regions_ets_flag,N,Y,33727416.0,6. EFW (Euroflyer),N,N,2803.0,Y,N,N,N,N,N,N,N,N,33727416.0,6. EFW (EUROFLYER),Y,N,2803.0,Y,N,N,N,N,N,N,N,N
33727775,eu_outer_regions_ets_flag,N,Y,33727775.0,6. EFW (Euroflyer),N,N,2551.0,Y,N,N,N,N,N,N,N,N,33727775.0,6. EFW (EUROFLYER),Y,N,2551.0,Y,N,N,N,N,N,N,N,N
33728432,eu_outer_regions_ets_flag,N,Y,33728432.0,6. EFW (Euroflyer),N,N,2972.0,Y,N,N,N,N,N,N,N,N,33728432.0,6. EFW (EUROFLYER),Y,N,2972.0,Y,N,N,N,N,N,N,N,N
33731473,eu_outer_regions_ets_flag,N,Y,33731473.0,6. EFW (Euroflyer),N,N,2551.0,Y,N,N,N,N,N,N,N,N,33731473.0,6. EFW (EUROFLYER),Y,N,2551.0,Y,N,N,N,N,N,N,N,N
33731784,eu_outer_regions_ets_flag,N,Y,33731784.0,6. EFW (Euroflyer),N,N,3006.0,Y,N,N,N,N,N,N,N,N,33731784.0,6. EFW (EUROFLYER),Y,N,3006.0,Y,N,N,N,N,N,N,N,N
33731790,eu_outer_regions_ets_flag,N,Y,33731790.0,6. EFW (Euroflyer),N,N,3006.0,Y,N,N,N,N,N,N,N,N,33731790.0,6. EFW (EUROFLYER),Y,N,3006.0,Y,N,N,N,N,N,N,N,N
33731795,eu_outer_regions_ets_flag,N,Y,33731795.0,6. EFW (Euroflyer),N,N,2972.0,Y,N,N,N,N,N,N,N,N,33731795.0,6. EFW (EUROFLYER),Y,N,2972.0,Y,N,N,N,N,N,N,N,N
33731797,eu_outer_regions_ets_flag,N,Y,33731797.0,6. EFW (Euroflyer),N,N,2803.0,Y,N,N,N,N,N,N,N,N,33731797.0,6. EFW (EUROFLYER),Y,N,2803.0,Y,N,N,N,N,N,N,N,N
33731950,eu_outer_regions_ets_flag,N,Y,33731950.0,6. EFW (Euroflyer),N,N,2803.0,Y,N,N,N,N,N,N,N,N,33731950.0,6. EFW (EUROFLYER),Y,N,2803.0,Y,N,N,N,N,N,N,N,N
33738850,eu_outer_regions_ets_flag,N,Y,33738850.0,6. EFW (Euroflyer),N,N,2972.0,Y,N,N,N,N,N,N,N,N,33738850.0,6. EFW (EUROFLYER),Y,N,2972.0,Y,N,N,N,N,N,N,N,N
33738852,eu_outer_regions_ets_flag,N,Y,33738852.0,6. EFW (Euroflyer),N,N,2803.0,Y,N,N,N,N,N,N,N,N,33738852.0,6. EFW (EUROFLYER),Y,N,2803.0,Y,N,N,N,N,N,N,N,N
33738865,eu_outer_regions_ets_flag,N,Y,33738865.0,6. EFW (Euroflyer),N,N,3006.0,Y,N,N,N,N,N,N,N,N,33738865.0,6. EFW (EUROFLYER),Y,N,3006.0,Y,N,N,N,N,N,N,N,N
33738870,eu_outer_regions_ets_flag,N,Y,33738870.0,6. EFW (Euroflyer),N,N,3006.0,Y,N,N,N,N,N,N,N,N,33738870.0,6. EFW (EUROFLYER),Y,N,3006.0,Y,N,N,N,N,N,N,N,N
33738884,eu_outer_regions_ets_flag,N,Y,33738884.0,1.BAW (Speedbird),N,N,3025.0,Y,N,N,N,N,N,N,N,N,33738884.0,1.BAW (SPEEDBIRD),Y,N,3025.0,Y,N,N,N,N,N,N,N,N
33739106,eu_outer_regions_ets_flag,N,Y,33739106.0,6. EFW (Euroflyer),N,N,2863.0,Y,N,N,N,N,N,N,N,N,33739106.0,6. EFW (EUROFLYER),Y,N,2863.0,Y,N,N,N,N,N,N,N,N
33739180,eu_outer_regions_ets_flag,N,Y,33739180.0,6. EFW (Euroflyer),N,N,2551.0,Y,N,N,N,N,N,N,N,N,33739180.0,6. EFW (EUROFLYER),Y,N,2551.0,Y,N,N,N,N,N,N,N,N
33743185,eu_outer_regions_ets_flag,N,Y,33743185.0,6. EFW (Euroflyer),N,N,3006.0,Y,N,N,N,N,N,N,N,N,33743185.0,6. EFW (EUROFLYER),Y,N,3006.0,Y,N,N,N,N,N,N,N,N
33743373,eu_outer_regions_ets_flag,N,Y,33743373.0,6. EFW (Euroflyer),N,N,3006.0,Y,N,N,N,N,N,N,N,N,33743373.0,6. EFW (EUROFLYER),Y,N,3006.0,Y,N,N,N,N,N,N,N,N
33743383,eu_outer_regions_ets_flag,N,Y,33743383.0,6. EFW (Euroflyer),N,N,2551.0,Y,N,N,N,N,N,N,N,N,33743383.0,6. EFW (EUROFLYER),Y,N,2551.0,Y,N,N,N,N,N,N,N,N
33743384,eu_outer_regions_ets_flag,N,Y,33743384.0,6. EFW (Euroflyer),N,N,2803.0,Y,N,N,N,N,N,N,N,N,33743384.0,6. EFW (EUROFLYER),Y,N,2803.0,Y,N,N,N,N,N,N,N,N
33743487,eu_outer_regions_ets_flag,N,Y,33743487.0,6. EFW (Euroflyer),N,N,2972.0,Y,N,N,N,N,N,N,N,N,33743487.0,6. EFW (EUROFLYER),Y,N,2972.0,Y,N,N,N,N,N,N,N,N
33743663,eu_outer_regions_ets_flag,N,Y,33743663.0,1.BAW (Speedbird),N,N,3025.0,Y,N,N,N,N,N,N,N,N,33743663.0,1.BAW (SPEEDBIRD),Y,N,3025.0,Y,N,N,N,N,N,N,N,N
33744392,eu_outer_regions_ets_flag,N,Y,33744392.0,1.BAW (Speedbird),N,N,3025.0,Y,N,N,N,N,N,N,N,N,33744392.0,1.BAW (SPEEDBIRD),Y,N,3025.0,Y,N,N,N,N,N,N,N,N
33744491,eu_outer_regions_ets_flag,N,Y,33744491.0,6. EFW (Euroflyer),N,N,2972.0,Y,N,N,N,N,N,N,N,N,33744491.0,6. EFW (EUROFLYER),Y,N,2972.0,Y,N,N,N,N,N,N,N,N
33744494,eu_outer_regions_ets_flag,N,Y,33744494.0,6. EFW (Euroflyer),N,N,2803.0,Y,N,N,N,N,N,N,N,N,33744494.0,6. EFW (EUROFLYER),Y,N,2803.0,Y,N,N,N,N,N,N,N,N
33744551,eu_outer_regions_ets_flag,N,Y,33744551.0,6. EFW (Euroflyer),N,N,3006.0,Y,N,N,N,N,N,N,N,N,33744551.0,6. EFW (EUROFLYER),Y,N,3006.0,Y,N,N,N,N,N,N,N,N
33744558,eu_outer_regions_ets_flag,N,Y,33744558.0,6. EFW (Euroflyer),N,N,3006.0,Y,N,N,N,N,N,N,N,N,33744558.0,6. EFW (EUROFLYER),Y,N,3006.0,Y,N,N,N,N,N,N,N,N
33744560,eu_outer_regions_ets_flag,N,Y,33744560.0,6. EFW (Euroflyer),N,N,2803.0,Y,N,N,N,N,N,N,N,N,33744560.0,6. EFW (EUROFLYER),Y,N,2803.0,Y,N,N,N,N,N,N,N,N
33744576,eu_outer_regions_ets_flag,N,Y,33744576.0,1.BAW (Speedbird),N,N,2592.0,Y,N,N,N,N,N,N,N,N,33744576.0,1.BAW (SPEEDBIRD),Y,N,2592.0,Y,N,N,N,N,N,N,N,N
33744767,eu_outer_regions_ets_flag,N,Y,33744767.0,1.BAW (Speedbird),N,N,3025.0,Y,N,N,N,N,N,N,N,N,33744767.0,1.BAW (SPEEDBIRD),Y,N,3025.0,Y,N,N,N,N,N,N,N,N
33744852,eu_outer_regions_ets_flag,N,Y,33744852.0,6. EFW (Euroflyer),N,N,2551.0,Y,N,N,N,N,N,N,N,N,33744852.0,6. EFW (EUROFLYER),Y,N,2551.0,Y,N,N,N,N,N,N,N,N
33751344,eu_outer_regions_ets_flag,N,Y,33751344.0,1.BAW (Speedbird),N,N,3025.0,Y,N,N,N,N,N,N,N,N,33751344.0,1.BAW (SPEEDBIRD),Y,N,3025.0,Y,N,N,N,N,N,N,N,N
33751356,eu_outer_regions_ets_flag,N,Y,33751356.0,6. EFW (Euroflyer),N,N,2551.0,Y,N,N,N,N,N,N,N,N,33751356.0,6. EFW (EUROFLYER),Y,N,2551.0,Y,N,N,N,N,N,N,N,N
